time;open;high;low;close;Volume
"2025-04-11 08:00:00";14.2232233864;15.9823025286;13.8057104147;15.7199285846;150883200.36
"2025-04-12 08:00:00";15.7199285846;16.7753028884;15.171930412;16.3014748977;122102584.37
"2025-04-13 08:00:00";16.3014750303;16.8095087004;15.0189059578;15.4254559395;130267190.9
"2025-04-14 08:00:00";15.4254559395;16.3065284408;15.3316301758;15.7169765128;115522917.87
"2025-04-15 08:00:00";15.7169765128;16.5648369399;15.045483786;15.0830559957;105425373.1
"2025-04-16 08:00:00";15.0830559957;16.24751077;14.6767014667;15.7361230059;131531483.49
"2025-04-17 08:00:00";15.7361230059;17.202207895;15.5321226816;17.0489529469;162441978.29
"2025-04-18 08:00:00";17.0489529469;17.3801606238;16.3548341102;17.0640531069;105635699.21
"2025-04-19 08:00:00";17.0640531069;18.2230960634;16.7608520535;18.0745075748;106833834.16
"2025-04-20 08:00:00";18.0755170182;18.4967974978;17.1858467042;17.5928548702;80211880.99
"2025-04-21 08:00:00";17.5928548702;18.4525798651;17.3132000741;18.1991005588;127929888.25
"2025-04-22 08:00:00";18.1989815986;19.2334122693;17.8788449832;19.1758618128;141085092.65
"2025-04-23 08:00:00";19.1758618128;19.2159412159;18.125448653;18.4544912455;147742407.53
"2025-04-24 08:00:00";18.4544912455;18.9600199545;17.7259807743;18.7753230625;102380184.2
"2025-04-25 08:00:00";18.7753183881;19.1511117959;18.1719280251;18.3960646826;95417242.47
"2025-04-26 08:00:00";18.3962676466;18.4293077168;17.4992496557;17.9246076982;67325577.92
"2025-04-27 08:00:00";17.9246076982;18.2265587253;17.3553399619;17.3994047858;61525106.96
"2025-04-28 08:00:00";17.3994268686;18.6886401334;16.9494984741;18.626820037;123789109.5
"2025-04-29 08:00:00";18.626818213;19.1129901306;18.1859176306;18.5790154463;116175342.11
"2025-04-30 08:00:00";18.5790154463;20.032443546;17.6811854047;19.9773514057;127483638.95
"2025-05-01 08:00:00";19.9773514057;21.1468662071;19.2803300304;19.9025294588;181531124.13
"2025-05-02 08:00:00";19.9026034841;21.3813696272;19.9026034841;20.7669243264;118773778.31
"2025-05-03 08:00:00";20.766925061;21.4763878562;20.1349795875;20.9584778792;83055677.6
"2025-05-04 08:00:00";20.9584778792;21.1554301977;19.7807196682;19.8964642072;77419051.16
"2025-05-05 08:00:00";19.896468746;20.7169262765;19.8293073333;20.2784559329;94828376.83
"2025-05-06 08:00:00";20.2784561344;21.0614554025;19.5572916279;20.9536480379;122034057.48
"2025-05-07 08:00:00";20.9536480379;21.4246631429;20.701810098;21.0356712221;96452608.68
"2025-05-08 08:00:00";21.0356712221;23.409082048;20.8583984746;23.2963700726;211198574.04
"2025-05-09 08:00:00";23.2963680962;25.6946649828;22.9670295228;24.700355704;242774255.86
"2025-05-10 08:00:00";24.7003568293;26.2389866426;24.3121813984;26.2089299794;137389655.98
"2025-05-11 08:00:00";26.2089299794;26.487200628;23.8309721697;24.8728544784;195316335.97
"2025-05-12 08:00:00";24.8728544784;25.660427385;23.4552877363;24.8176954196;197237598.42
"2025-05-13 08:00:00";24.8176954196;26.386937144;23.4556699159;25.8379830864;167144638.54
"2025-05-14 08:00:00";25.8379852699;26.1779848865;24.6987683397;25.2292742677;129557311.39
"2025-05-15 08:00:00";25.2292742677;26.176777965;24.308295916;26.0716066453;155742761.83
"2025-05-16 08:00:00";26.0717003694;28.1371693805;25.8843311926;26.8048290627;200256733.8
"2025-05-17 08:00:00";26.8048290627;27.6517592495;25.629622063;25.8576942936;149948823.63
"2025-05-18 08:00:00";25.8576942936;27.2991292128;25.8553484438;27.2031010736;143958451.76
"2025-05-19 08:00:00";27.203095448;27.203095448;25.109222401;26.5337507439;193697873.53
"2025-05-20 08:00:00";26.5337507439;26.987825855;25.5014204295;26.4838849216;132230160.83
"2025-05-21 08:00:00";26.4838849216;28.257304624;26.0873990879;28.2566271285;232253209.87
"2025-05-22 08:00:00";28.2568099788;34.0080569034;28.1979507113;33.4229181636;480515095.89
"2025-05-23 08:00:00";33.4229181636;37.4360401848;32.4544783677;32.7482224489;561356784.43
"2025-05-24 08:00:00";32.7482224489;36.381716741;32.2494076294;34.8584687845;305810319.91
"2025-05-25 08:00:00";34.859538885;39.2692785518;33.7022450441;39.0762704886;411495876.22
"2025-05-26 08:00:00";39.0762704886;39.9263129605;36.6935417438;37.2479326941;400659654.45
"2025-05-27 08:00:00";37.2479326941;38.655194187;35.6694513348;35.7421412954;335254095.59
"2025-05-28 08:00:00";35.7421412954;36.1470784858;32.7669597951;34.4904928525;305863425.31
"2025-05-29 08:00:00";34.4904928525;35.1089601489;31.4294239643;31.4294239643;369273811.13
"2025-05-30 08:00:00";31.4293341034;34.2312817271;30.8203046686;32.741421229;424713146.08
"2025-05-31 08:00:00";32.741413004;33.4882020299;30.8182178933;32.8288748915;244129657.85
"2025-06-01 08:00:00";32.8288748915;34.2281919126;31.5578712372;34.1154658381;178715083.35
"2025-06-02 08:00:00";34.1154658381;36.61019749;32.5228816032;36.5783427893;289928098.29
"2025-06-03 08:00:00";36.5783427893;38.1721001097;35.6976627285;36.1369723101;342925000.1
"2025-06-04 08:00:00";36.1369723101;37.1513745468;34.7037214453;35.6793787679;283649433.25
"2025-06-05 08:00:00";35.6793787679;36.3468953119;32.7480231094;34.1177391228;385066178.05
"2025-06-06 08:00:00";34.1177391228;35.5414750427;33.159574599;33.3738354009;264401240.86
"2025-06-07 08:00:00";33.3737694988;35.118297362;33.0776001918;34.9883787608;138224748
"2025-06-08 08:00:00";34.9883787608;36.262430878;34.5224418664;34.9891896065;138140456.61
"2025-06-09 08:00:00";34.9891896065;38.8297872949;34.7926553062;38.8232539982;312517396.71
"2025-06-10 08:00:00";38.8232539982;42.2501881015;38.5220579578;42.1361626152;523801294.79
"2025-06-11 08:00:00";42.1361626152;43.8586542505;40.812466177;41.8498995671;473827148.47
"2025-06-12 08:00:00";41.8498995671;43.833764674;40.3892413955;40.7547753275;410995434.91
"2025-06-13 08:00:00";40.7547753275;42.5007283677;37.4164148455;42.3812887558;679178348.06
"2025-06-14 08:00:00";42.3812887558;42.6539190727;39.0229414826;40.1201802268;225987157.27
"2025-06-15 08:00:00";40.1201802268;41.4081016649;39.8454816454;41.2716702314;188523891.42
"2025-06-16 08:00:00";41.2716702314;45.5935065982;40.712904132;42.1226469063;437207392.52
"2025-06-17 08:00:00";42.1226469063;43.3912540096;38.5941597969;40.0234752014;534746693.92
"2025-06-18 08:00:00";40.0234752014;41.0518298066;37.77419781;39.311512626;436262163.86
"2025-06-19 08:00:00";39.311512626;39.8540531711;35.9539900122;36.8958370394;361890189.74
"2025-06-20 08:00:00";36.8958176637;37.7782928151;33.238201125;33.4142766813;411513271.99
"2025-06-21 08:00:00";33.4142766813;35.2795741083;31.6047998557;33.8950167947;317751164.23
"2025-06-22 08:00:00";33.8950167947;35.9879878016;31.744802558;35.6789119156;480587269.7
"2025-06-23 08:00:00";35.6789119156;38.4497932659;33.3673098628;38.3635488789;531255814.56
"2025-06-24 08:00:00";38.3635488789;38.7900444483;36.3958484519;37.4837329672;347966062.57
"2025-06-25 08:00:00";37.4837329672;39.0268575853;36.78664359;36.9855160606;302230819.53
"2025-06-26 08:00:00";36.9855160606;38.0897526557;35.801157747;35.801157747;290800996.29
"2025-06-27 08:00:00";35.801157747;37.2631297384;35.4828477563;36.5700186366;202191801.35
"2025-06-28 08:00:00";36.5700186366;37.872006404;36.254992426;37.7373536666;128163952.21
"2025-06-29 08:00:00";37.7373536666;39.829706841;37.5092097778;39.7378313425;213942449.5
"2025-06-30 08:00:00";39.7378313425;41.1193570274;39.2928303043;39.4004277999;281659794.47
"2025-07-01 08:00:00";39.4004277999;39.7341130496;36.8837967791;36.9455245477;241782452.24
"2025-07-02 08:00:00";36.9455245477;40.3193455855;36.9188250463;39.9073647245;270558696.13
"2025-07-03 08:00:00";39.9073647245;41.0092938571;39.7314260421;40.1829228215;231979429.42
"2025-07-04 08:00:00";40.1829228215;40.3901678355;37.6173748448;39.1168365378;224233271.56
"2025-07-05 08:00:00";39.1168365378;39.6259459452;38.3492438902;39.0970440566;144593957.43
"2025-07-06 08:00:00";39.0970440566;40.0164797923;38.6709074463;39.7997396808;161636008.36
"2025-07-07 08:00:00";39.7997396808;40.1485612888;38.2606822129;38.5958964372;224269333.39
"2025-07-08 08:00:00";38.5958964372;39.0446194612;37.0485860047;38.8614315564;266869517.66
"2025-07-09 08:00:00";38.8614315564;41.0054170214;38.8247989067;40.8286993465;281799347.34
"2025-07-10 08:00:00";40.8286993465;43.9621289544;40.5730553332;43.8257463018;394828246.26
