time;open;high;low;close;Volume
"2025-09-04 08:00:00";1.6506025743;1.69526822;1.6483831464;1.6943671357;NaN
"2025-09-05 08:00:00";1.6943671357;1.6956767099;1.623402158;1.663358966;53002.77
"2025-09-06 08:00:00";1.663358966;1.6675011861;1.6404413245;1.6409980193;18057.44
"2025-09-07 08:00:00";1.6409980193;1.648558839;1.6323293008;1.6388422418;5123.61
"2025-09-08 08:00:00";1.6388422418;1.6388422418;1.5105612405;1.5107851469;NaN
"2025-09-09 08:00:00";1.5107851469;1.5483628391;1.4756822784;1.4888815083;47778.78
"2025-09-10 08:00:00";1.4888815083;7710.7176025482;1.3907761411;1.3940424866;95372.02
"2025-09-11 08:00:00";1.3940424866;1.4944312919;1.3737822411;1.4835774241;112985.75
"2025-09-12 08:00:00";1.4835774241;1.5359325475;1.4506504845;1.5317546125;55110.55
"2025-09-13 08:00:00";1.5317546125;1.6264014234;1.531499389;1.6204001103;87014.56
"2025-09-14 08:00:00";1.6204001103;1.6294388422;1.6121066753;1.6203318175;10041.21
"2025-09-15 08:00:00";1.6203318175;1.6203751371;1.4689555813;1.4689571304;142639.76
"2025-09-16 08:00:00";1.4689571304;1.539557776;1.4689571304;1.5220933493;80467.57
"2025-09-17 08:00:00";1.5220933493;1.5300248222;1.4877300337;1.5030031834;22085.16
"2025-09-18 08:00:00";1.5030031834;1.5283411869;1.2654182076;1.528331981;198513.76
"2025-09-19 08:00:00";1.528331981;1.5660062367;1.5151623156;1.5151716442;83741.18
"2025-09-20 08:00:00";1.5151716442;1.5220768734;1.4956219415;1.5054395116;20476.98
"2025-09-21 08:00:00";1.5054395116;1.5054422004;1.4756675641;1.4764194308;39006.25
"2025-09-22 08:00:00";1.4764194308;1.5245442486;1.4643477842;1.4827879206;NaN
"2025-09-23 08:00:00";1.4827879206;1.4912877609;1.4641799928;1.4843525443;NaN
"2025-09-24 08:00:00";1.4843525443;1.6061118527;1.4733056273;1.6007819992;159009.27
"2025-09-25 08:00:00";1.6007819992;1.6071410661;1.4380574937;1.4955214275;326230.11
"2025-09-26 08:00:00";1.4955214275;1.6335499368;1.490672496;1.6330949276;150650
